Class,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,xz0,x11,y11,xz1,x12,y12,xz2,x13,y13,xz3,x14,y14,xz4,x15,y15,xz5,x16,y16,xz6,x17,y17,xz7,x18,y18,xz8,x19,y19,xz9,x20,y20,xz0.1
Cursor,0.6182680130004883,0.5751687288284302,0.115033745765686,0.6001463532447815,0.5243025422096252,0.104860508441925,0.5945303440093994,0.4690932929515838,0.0938186585903167,0.608708918094635,0.4271302223205566,0.0854260444641113,0.63045734167099,0.4005985856056213,0.0801197171211242,0.6146544814109802,0.3744719922542572,0.0748943984508514,0.6184229254722595,0.291644811630249,0.0583289623260498,0.6238775253295898,0.2409145087003708,0.0481829017400741,0.6295463442802429,0.195760890841484,0.0391521781682968,0.6389679312705994,0.3894062638282776,0.0778812527656555,0.6413818001747131,0.3640059530735016,0.0728011906147003,0.6329076886177063,0.4130664467811584,0.0826132893562316,0.6254502534866333,0.4465778172016144,0.0893155634403228,0.660035252571106,0.4166454970836639,0.0833290994167327,0.6568726301193237,0.4108772575855255,0.0821754515171051,0.645013153553009,0.4597480595111847,0.0919496119022369,0.6373388171195984,0.4912816882133484,0.0982563376426696,0.6797214150428772,0.4527678787708282,0.0905535757541656,0.6790366768836975,0.4330069422721863,0.0866013884544372,0.6649724245071411,0.4657582640647888,0.0931516528129577,0.655497133731842,0.4903478920459747,0.0980695784091949
Cursor,0.6268810629844666,0.5768675804138184,0.1153735160827636,0.6112474203109741,0.5252450108528137,0.1050490021705627,0.606556236743927,0.4705868363380432,0.0941173672676086,0.6208488941192627,0.4290105402469635,0.0858021080493927,0.6421729326248169,0.4016534388065338,0.0803306877613067,0.6259220242500305,0.3752321898937225,0.0750464379787445,0.6312242746353149,0.2911292612552643,0.0582258522510528,0.6361781358718872,0.2394523918628692,0.0478904783725738,0.6415058374404907,0.1938724964857101,0.038774499297142,0.650215208530426,0.3906237781047821,0.0781247556209564,0.6546168327331543,0.367641270160675,0.073528254032135,0.6446889042854309,0.4191556572914123,0.0838311314582824,0.6367634534835815,0.4523963928222656,0.0904792785644531,0.6713066697120667,0.4182164371013641,0.0836432874202728,0.6691139936447144,0.4131112098693847,0.0826222419738769,0.6568358540534973,0.4624529480934143,0.0924905896186828,0.6497561931610107,0.4926075935363769,0.0985215187072754,0.6904818415641785,0.4542999565601349,0.0908599913120269,0.6907204389572144,0.4334337413311004,0.0866867482662201,0.6764345169067383,0.4659793972969055,0.0931958794593811,0.6668582558631897,0.4908115863800049,0.0981623172760009
Cursor,0.63689124584198,0.5785987377166748,0.1157197475433349,0.6205462217330933,0.5271347761154175,0.1054269552230835,0.6156608462333679,0.4708484709262848,0.0941696941852569,0.6306236386299133,0.4277947247028351,0.085558944940567,0.6525706648826599,0.4018287360668182,0.0803657472133636,0.6370421648025513,0.3777300417423248,0.0755460083484649,0.6449323296546936,0.2919566631317138,0.0583913326263427,0.6514505743980408,0.2398002296686172,0.0479600459337234,0.658312201499939,0.1933766305446624,0.0386753261089325,0.6608014106750488,0.3941126763820648,0.0788225352764129,0.6671611666679382,0.3734531998634338,0.0746906399726867,0.6561211347579956,0.4279105067253113,0.0855821013450622,0.6480967998504639,0.4603578448295593,0.0920715689659118,0.6822100281715393,0.4217252433300018,0.0843450486660003,0.6827793121337891,0.4180483222007751,0.083609664440155,0.669009268283844,0.4687257707118988,0.0937451541423797,0.6611611843109131,0.4972996413707733,0.0994599282741546,0.7016303539276123,0.4572508633136749,0.0914501726627349,0.7031918168067932,0.442577064037323,0.0885154128074646,0.6882383823394775,0.4774466454982757,0.0954893290996551,0.6786898970603943,0.4993939995765686,0.0998787999153137
Cursor,0.6460717916488647,0.5807884931564331,0.1161576986312866,0.6324459314346313,0.5260308980941772,0.1052061796188354,0.6294349431991577,0.4689715206623077,0.0937943041324615,0.6466557383537292,0.4294993877410888,0.0858998775482177,0.6711406707763672,0.4091876149177551,0.081837522983551,0.6524499654769897,0.3796600997447967,0.0759320199489593,0.6589067578315735,0.2941577434539795,0.0588315486907959,0.6640344858169556,0.241960659623146,0.0483921319246292,0.66975337266922,0.1956278830766677,0.0391255766153335,0.6753666996955872,0.3969804942607879,0.0793960988521575,0.6797094941139221,0.3777979016304016,0.0755595803260803,0.6679205894470215,0.4296140372753143,0.0859228074550628,0.6599326729774475,0.4608417153358459,0.0921683430671692,0.6953797340393066,0.4254100322723388,0.0850820064544677,0.6945402026176453,0.4197182655334472,0.0839436531066894,0.6803958415985107,0.4674465954303741,0.0934893190860748,0.6728652715682983,0.4959496259689331,0.0991899251937866,0.713474690914154,0.4626585245132446,0.0925317049026489,0.7150978446006775,0.4435332119464874,0.0887066423892974,0.6997649669647217,0.4749078452587127,0.0949815690517425,0.689788281917572,0.4976885318756103,0.099537706375122
Cursor,0.6581053733825684,0.5837889313697815,0.1167577862739563,0.6449090838432312,0.5326106548309326,0.1065221309661865,0.643591582775116,0.4762687087059021,0.0952537417411804,0.6617700457572937,0.4386019110679626,0.0877203822135925,0.6852777600288391,0.4175902307033539,0.0835180461406707,0.665104329586029,0.3820984363555908,0.0764196872711181,0.6725615859031677,0.2932014763355255,0.0586402952671051,0.6802307367324829,0.2398238182067871,0.0479647636413574,0.689175009727478,0.1944459825754165,0.0388891965150833,0.6884028911590576,0.4013219773769378,0.0802643954753875,0.6959193348884583,0.3785093426704407,0.0757018685340881,0.6839874386787415,0.4299130141735077,0.0859826028347015,0.6746957898139954,0.4594895839691162,0.0918979167938232,0.7090187072753906,0.431676298379898,0.0863352596759796,0.7117807269096375,0.4226212501525879,0.0845242500305175,0.6963148713111877,0.4684363007545471,0.0936872601509094,0.686922550201416,0.4936514496803283,0.0987302899360656,0.7271700501441956,0.470319002866745,0.094063800573349,0.7319180965423584,0.4507018029689789,0.0901403605937957,0.7155903577804565,0.4805859327316284,0.0961171865463256,0.7039818167686462,0.5002844333648682,0.1000568866729736
Cursor,0.6680346727371216,0.5875110030174255,0.1175022006034851,0.6563237905502319,0.5337291955947876,0.1067458391189575,0.6559606790542603,0.4772493839263916,0.0954498767852783,0.6758124232292175,0.4404874145984649,0.088097482919693,0.7013623714447021,0.4209126532077789,0.0841825306415557,0.678892970085144,0.3841829299926758,0.0768365859985351,0.6896675825119019,0.2982305288314819,0.0596461057662963,0.6985086798667908,0.2459335774183273,0.0491867154836654,0.7074472904205322,0.2001234143972396,0.0400246828794479,0.7024271488189697,0.4045925736427307,0.0809185147285461,0.712288498878479,0.3823623359203338,0.0764724671840667,0.6999747157096863,0.433619886636734,0.0867239773273468,0.689918041229248,0.4628260135650635,0.0925652027130127,0.7228708863258362,0.4358850121498108,0.0871770024299621,0.7281187772750854,0.4279350638389587,0.0855870127677917,0.7123494148254395,0.4732553362846374,0.0946510672569275,0.7020027041435242,0.4988054633140564,0.0997610926628112,0.740553617477417,0.4758312702178955,0.0951662540435791,0.7479022741317749,0.4556902647018432,0.0911380529403686,0.7323612570762634,0.4858402609825134,0.0971680521965027,0.720526933670044,0.5064983367919922,0.1012996673583984
Cursor,0.6802789568901062,0.5926578044891357,0.1185315608978271,0.6687109470367432,0.5390743017196655,0.1078148603439331,0.6682491302490234,0.4846509993076324,0.0969301998615265,0.6879253387451172,0.4486555159091949,0.089731103181839,0.7133868932723999,0.4296095967292785,0.0859219193458557,0.6930031776428223,0.3917865753173828,0.0783573150634765,0.7040250897407532,0.3028953671455383,0.0605790734291076,0.714104950428009,0.2494867593050003,0.049897351861,0.7244822382926941,0.2043408304452896,0.0408681660890579,0.7164849638938904,0.4123131334781647,0.0824626266956329,0.729251503944397,0.3921133279800415,0.0784226655960083,0.7168381214141846,0.4428246319293976,0.0885649263858795,0.7049000859260559,0.4733363091945648,0.0946672618389129,0.7369537353515625,0.4422999024391174,0.0884599804878235,0.7435323596000671,0.4399940371513366,0.0879988074302673,0.7282421588897705,0.4853871464729309,0.0970774292945861,0.716188907623291,0.510836124420166,0.1021672248840332,0.7546143531799316,0.4798022806644439,0.0959604561328888,0.7632264494895935,0.4662737250328064,0.0932547450065612,0.7477755546569824,0.4963959753513336,0.0992791950702667,0.7343538999557495,0.51613849401474,0.103227698802948
